"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --output 2_nodes.csv 2 3000",,,,"Date:","15 Oct 2018 02:16:41 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,
15-10 03:08:28,0.0,0.0,100.0,0.0,0.0,0.0,3459125248.0,28934144.0,2220015616.0,1.95562237952e+11,0.0,0.030,2.540
15-10 03:08:30,0.0,0.025,99.975,0.0,0.0,0.0,3459125248.0,28942336.0,2220007424.0,1.95562237952e+11,0.0,0.030,2.520
15-10 03:08:32,0.0,0.0,100.0,0.0,0.0,0.0,3459117056.0,28942336.0,2220015616.0,1.95562237952e+11,0.0,0.030,2.520
15-10 03:08:34,0.0,0.013,99.987,0.0,0.0,0.0,3459117056.0,28942336.0,2220015616.0,1.95562237952e+11,0.0,0.030,2.520
15-10 03:08:36,0.0,0.037,99.963,0.0,0.0,0.0,3459117056.0,28950528.0,2220007424.0,1.95562237952e+11,0.0,0.030,2.510
15-10 03:08:38,0.0,0.0,100.0,0.0,0.0,0.0,3459108864.0,28950528.0,2220015616.0,1.95562237952e+11,0.0,0.030,2.510
15-10 03:08:40,0.0,0.013,99.987,0.0,0.0,0.0,3459108864.0,28950528.0,2220015616.0,1.95562237952e+11,0.0,0.030,2.500
15-10 03:08:42,0.0,0.013,99.987,0.0,0.0,0.0,3459108864.0,28958720.0,2220007424.0,1.95562237952e+11,0.0,0.030,2.500
15-10 03:08:44,0.0,0.013,99.987,0.0,0.0,0.0,3459100672.0,28958720.0,2220015616.0,1.95562237952e+11,0.0,0.030,2.500
15-10 03:08:46,0.0,0.013,99.987,0.0,0.0,0.0,3459100672.0,28958720.0,2220015616.0,1.95562237952e+11,0.0,0.030,2.480
15-10 03:08:48,0.0,0.013,99.987,0.0,0.0,0.0,3459100672.0,28966912.0,2220007424.0,1.95562237952e+11,0.0,0.030,2.480
15-10 03:08:50,0.0,0.013,99.987,0.0,0.0,0.0,3459092480.0,28966912.0,2220015616.0,1.95562237952e+11,0.0,0.030,2.470
15-10 03:08:52,0.0,0.013,99.987,0.0,0.0,0.0,3459092480.0,28966912.0,2220015616.0,1.95562237952e+11,0.0,0.030,2.470
15-10 03:08:54,0.0,0.013,99.987,0.0,0.0,0.0,3459092480.0,28975104.0,2220007424.0,1.95562237952e+11,0.0,0.030,2.470
15-10 03:08:56,0.0,0.013,99.987,0.0,0.0,0.0,3459084288.0,28975104.0,2220015616.0,1.95562237952e+11,0.0,0.030,2.450
15-10 03:08:58,0.0,0.013,99.987,0.0,0.0,0.0,3459084288.0,28975104.0,2220015616.0,1.95562237952e+11,0.0,0.030,2.450
15-10 03:09:00,0.0,0.013,99.987,0.0,0.0,0.0,3459084288.0,28983296.0,2220007424.0,1.95562237952e+11,0.0,0.030,2.440
15-10 03:09:02,0.0,0.013,99.987,0.0,0.0,0.0,3459076096.0,28983296.0,2220015616.0,1.95562237952e+11,0.0,0.030,2.440
15-10 03:09:04,0.025,0.0,99.975,0.0,0.0,0.0,3459137536.0,28983296.0,2220027904.0,1.95562164224e+11,0.0,0.030,2.440
15-10 03:09:06,0.0,0.062,99.938,0.0,0.0,0.0,3459129344.0,28991488.0,2220019712.0,1.95562172416e+11,0.0,0.030,2.430
15-10 03:09:08,0.0,0.013,99.987,0.0,0.0,0.0,3459108864.0,28991488.0,2220027904.0,1.95562184704e+11,0.0,0.030,2.430
15-10 03:09:10,0.0,0.0,100.0,0.0,0.0,0.0,3459104768.0,28991488.0,2220032000.0,1.95562184704e+11,0.0,0.030,2.410
15-10 03:09:12,0.0,0.013,99.987,0.0,0.0,0.0,3459104768.0,28999680.0,2220023808.0,1.95562184704e+11,0.0,0.030,2.410
15-10 03:09:14,0.0,0.013,99.987,0.0,0.0,0.0,3459096576.0,28999680.0,2220032000.0,1.95562184704e+11,0.0,0.030,2.410
15-10 03:09:16,0.0,0.013,99.987,0.0,0.0,0.0,3459096576.0,28999680.0,2220032000.0,1.95562184704e+11,0.0,0.030,2.400
15-10 03:09:18,0.0,0.013,99.987,0.0,0.0,0.0,3459096576.0,29007872.0,2220023808.0,1.95562184704e+11,0.0,0.030,2.400
15-10 03:09:20,0.0,0.013,99.987,0.0,0.0,0.0,3459088384.0,29007872.0,2220032000.0,1.95562184704e+11,0.0,0.030,2.390
15-10 03:09:22,0.0,0.013,99.987,0.0,0.0,0.0,3459088384.0,29007872.0,2220032000.0,1.95562184704e+11,0.0,0.030,2.390
15-10 03:09:24,0.0,0.0,100.0,0.0,0.0,0.0,3459088384.0,29016064.0,2220023808.0,1.95562184704e+11,0.0,0.030,2.390
15-10 03:09:26,0.0,0.025,99.975,0.0,0.0,0.0,3459080192.0,29016064.0,2220032000.0,1.95562184704e+11,0.0,0.030,2.370
15-10 03:09:28,0.0,0.013,99.987,0.0,0.0,0.0,3459080192.0,29016064.0,2220032000.0,1.95562184704e+11,0.0,0.030,2.370
15-10 03:09:30,0.0,0.013,99.987,0.0,0.0,0.0,3459076096.0,29024256.0,2220023808.0,1.955621888e+11,0.0,0.030,2.360
15-10 03:09:32,0.0,0.0,100.0,0.0,0.0,0.0,3459067904.0,29024256.0,2220032000.0,1.955621888e+11,0.0,0.030,2.360
15-10 03:09:34,0.0,0.013,99.987,0.0,0.0,0.0,3459067904.0,29024256.0,2220032000.0,1.955621888e+11,0.0,0.030,2.360
15-10 03:09:36,0.0,0.037,99.963,0.0,0.0,0.0,3459067904.0,29032448.0,2220023808.0,1.955621888e+11,0.0,0.020,2.350
15-10 03:09:38,0.0,0.013,99.987,0.0,0.0,0.0,3459059712.0,29032448.0,2220032000.0,1.955621888e+11,0.0,0.020,2.350
15-10 03:09:40,0.0,0.013,99.987,0.0,0.0,0.0,3459059712.0,29032448.0,2220032000.0,1.955621888e+11,0.0,0.020,2.340
15-10 03:09:42,0.0,0.0,100.0,0.0,0.0,0.0,3459059712.0,29040640.0,2220023808.0,1.955621888e+11,0.0,0.020,2.340
15-10 03:09:44,0.0,0.013,99.987,0.0,0.0,0.0,3459051520.0,29040640.0,2220032000.0,1.955621888e+11,0.0,0.020,2.340
15-10 03:09:46,0.0,0.025,99.975,0.0,0.0,0.0,3459051520.0,29040640.0,2220032000.0,1.955621888e+11,0.0,0.020,2.320
15-10 03:09:48,0.0,0.013,99.987,0.0,0.0,0.0,3459051520.0,29048832.0,2220023808.0,1.955621888e+11,0.0,0.020,2.320
15-10 03:09:50,0.0,0.0,100.0,0.0,0.0,0.0,3459170304.0,29048832.0,2220032000.0,1.95562061824e+11,0.0,0.020,2.320
15-10 03:09:52,0.0,0.013,99.987,0.0,0.0,0.0,3459170304.0,29048832.0,2220032000.0,1.95562061824e+11,0.0,0.020,2.310
15-10 03:09:54,0.0,0.013,99.987,0.0,0.0,0.0,3459170304.0,29057024.0,2220023808.0,1.95562061824e+11,0.0,0.020,2.310
15-10 03:09:56,0.0,0.025,99.975,0.0,0.0,0.0,3459162112.0,29057024.0,2220032000.0,1.95562061824e+11,0.0,0.020,2.300
15-10 03:09:58,0.0,0.0,100.0,0.0,0.0,0.0,3459035136.0,29057024.0,2220032000.0,1.955621888e+11,0.0,0.020,2.300
15-10 03:10:00,0.0,0.013,99.987,0.0,0.0,0.0,3459035136.0,29065216.0,2220023808.0,1.955621888e+11,0.0,0.020,2.300
15-10 03:10:02,0.0,0.012,99.988,0.0,0.0,0.0,3459026944.0,29065216.0,2220032000.0,1.955621888e+11,0.0,0.020,2.290
15-10 03:10:04,0.0,0.013,99.987,0.0,0.0,0.0,3459026944.0,29065216.0,2220032000.0,1.955621888e+11,0.0,0.020,2.290
15-10 03:10:06,0.0,0.037,99.963,0.0,0.0,0.0,3459026944.0,29073408.0,2220023808.0,1.955621888e+11,0.0,0.020,2.270
15-10 03:10:08,0.013,0.013,99.975,0.0,0.0,0.0,3459756032.0,29073408.0,2220032000.0,1.9556145152e+11,0.0,0.020,2.270
15-10 03:10:10,0.0,0.013,99.987,0.0,0.0,0.0,3459354624.0,29073408.0,2220048384.0,1.95561836544e+11,0.0,0.020,2.270
15-10 03:10:12,0.0,0.013,99.987,0.0,0.0,0.0,3459354624.0,29081600.0,2220040192.0,1.95561836544e+11,0.0,0.020,2.260
15-10 03:10:14,0.0,0.013,99.987,0.0,0.0,0.0,3459420160.0,29081600.0,2220048384.0,1.95561762816e+11,0.0,0.020,2.260
15-10 03:10:16,0.0,0.013,99.987,0.0,0.0,0.0,3459420160.0,29081600.0,2220048384.0,1.95561762816e+11,0.0,0.020,2.250
15-10 03:10:18,0.0,0.013,99.987,0.0,0.0,0.0,3459420160.0,29089792.0,2220040192.0,1.95561762816e+11,0.0,0.020,2.250
15-10 03:10:20,0.0,0.013,99.987,0.0,0.0,0.0,3459411968.0,29089792.0,2220048384.0,1.95561762816e+11,0.0,0.020,2.250
15-10 03:10:22,0.0,0.013,99.987,0.0,0.0,0.0,3459407872.0,29089792.0,2220052480.0,1.95561762816e+11,0.0,0.020,2.240
15-10 03:10:24,0.0,0.0,100.0,0.0,0.0,0.0,3459407872.0,29097984.0,2220044288.0,1.95561762816e+11,0.0,0.020,2.240
15-10 03:10:26,0.0,0.025,99.975,0.0,0.0,0.0,3459399680.0,29097984.0,2220052480.0,1.95561762816e+11,0.0,0.020,2.220
15-10 03:10:28,0.0,0.013,99.987,0.0,0.0,0.0,3459399680.0,29097984.0,2220052480.0,1.95561762816e+11,0.0,0.020,2.220
15-10 03:10:30,0.0,0.013,99.987,0.0,0.0,0.0,3459399680.0,29106176.0,2220044288.0,1.95561762816e+11,0.0,0.020,2.220
15-10 03:10:32,0.0,0.0,100.0,0.0,0.0,0.0,3459387392.0,29106176.0,2220052480.0,1.95561766912e+11,0.080,0.040,2.220
15-10 03:10:34,0.0,0.013,99.987,0.0,0.0,0.0,3459387392.0,29106176.0,2220052480.0,1.95561766912e+11,0.080,0.040,2.220
15-10 03:10:36,0.0,0.037,99.963,0.0,0.0,0.0,3459387392.0,29114368.0,2220044288.0,1.95561766912e+11,0.070,0.040,2.200
15-10 03:10:38,0.0,0.013,99.987,0.0,0.0,0.0,3459379200.0,29114368.0,2220052480.0,1.95561766912e+11,0.070,0.040,2.200
15-10 03:10:40,0.0,0.013,99.987,0.0,0.0,0.0,3459379200.0,29114368.0,2220052480.0,1.95561766912e+11,0.070,0.040,2.200
15-10 03:10:42,0.0,0.0,100.0,0.0,0.0,0.0,3459379200.0,29122560.0,2220044288.0,1.95561766912e+11,0.070,0.030,2.190
15-10 03:10:44,0.0,0.013,99.987,0.0,0.0,0.0,3459371008.0,29122560.0,2220052480.0,1.95561766912e+11,0.070,0.030,2.190
15-10 03:10:46,0.013,0.013,99.975,0.0,0.0,0.0,3459371008.0,29122560.0,2220052480.0,1.95561766912e+11,0.060,0.030,2.180
15-10 03:10:48,0.0,0.012,99.988,0.0,0.0,0.0,3459371008.0,29130752.0,2220044288.0,1.95561766912e+11,0.060,0.030,2.180
15-10 03:10:50,0.0,0.013,99.987,0.0,0.0,0.0,3459362816.0,29130752.0,2220052480.0,1.95561766912e+11,0.060,0.030,2.180
15-10 03:10:52,0.0,0.013,99.987,0.0,0.0,0.0,3459362816.0,29130752.0,2220052480.0,1.95561766912e+11,0.060,0.030,2.170
15-10 03:10:54,0.0,0.013,99.987,0.0,0.0,0.0,3459362816.0,29138944.0,2220044288.0,1.95561766912e+11,0.060,0.030,2.170
15-10 03:10:56,0.0,0.013,99.987,0.0,0.0,0.0,3459354624.0,29138944.0,2220052480.0,1.95561766912e+11,0.050,0.030,2.160
15-10 03:10:58,0.0,0.012,99.988,0.0,0.0,0.0,3459354624.0,29138944.0,2220052480.0,1.95561766912e+11,0.050,0.030,2.160
15-10 03:11:00,0.0,0.013,99.987,0.0,0.0,0.0,3459354624.0,29147136.0,2220044288.0,1.95561766912e+11,0.050,0.030,2.160
15-10 03:11:02,0.0,0.013,99.987,0.0,0.0,0.0,3459346432.0,29147136.0,2220052480.0,1.95561766912e+11,0.050,0.030,2.140
15-10 03:11:04,0.0,0.0,100.0,0.0,0.0,0.0,3459346432.0,29147136.0,2220052480.0,1.95561766912e+11,0.050,0.030,2.140
15-10 03:11:06,0.0,0.037,99.963,0.0,0.0,0.0,3459346432.0,29155328.0,2220044288.0,1.95561766912e+11,0.040,0.030,2.130
15-10 03:11:08,0.0,0.013,99.987,0.0,0.0,0.0,3459338240.0,29155328.0,2220052480.0,1.95561766912e+11,0.040,0.030,2.130
15-10 03:11:10,0.013,0.0,99.987,0.0,0.0,0.0,3459338240.0,29155328.0,2220052480.0,1.95561766912e+11,0.040,0.030,2.130
15-10 03:11:12,0.0,0.013,99.987,0.0,0.0,0.0,3459338240.0,29163520.0,2220044288.0,1.95561766912e+11,0.040,0.030,2.120
15-10 03:11:14,0.0,0.013,99.987,0.0,0.0,0.0,3459330048.0,29163520.0,2220052480.0,1.95561766912e+11,0.040,0.030,2.120
15-10 03:11:16,0.0,0.025,99.975,0.0,0.0,0.0,3459330048.0,29163520.0,2220052480.0,1.95561766912e+11,0.040,0.030,2.110
15-10 03:11:18,0.0,0.0,100.0,0.0,0.0,0.0,3459330048.0,29171712.0,2220044288.0,1.95561766912e+11,0.040,0.030,2.110
15-10 03:11:20,0.0,0.012,99.988,0.0,0.0,0.0,3459321856.0,29171712.0,2220052480.0,1.95561766912e+11,0.040,0.030,2.110
15-10 03:11:22,0.0,0.013,99.987,0.0,0.0,0.0,3459338240.0,29171712.0,2220052480.0,1.95561750528e+11,0.030,0.030,2.100
15-10 03:11:24,0.0,0.012,99.988,0.0,0.0,0.0,3459211264.0,29179904.0,2220044288.0,1.95561877504e+11,0.030,0.030,2.100
15-10 03:11:26,0.0,0.025,99.975,0.0,0.0,0.0,3459203072.0,29179904.0,2220052480.0,1.95561877504e+11,0.030,0.030,2.090
15-10 03:11:28,0.0,0.013,99.987,0.0,0.0,0.0,3459203072.0,29179904.0,2220052480.0,1.95561877504e+11,0.030,0.030,2.090
15-10 03:11:30,0.0,0.0,100.0,0.0,0.0,0.0,3459203072.0,29188096.0,2220044288.0,1.95561877504e+11,0.030,0.030,2.090
15-10 03:11:32,0.0,0.025,99.975,0.0,0.0,0.0,3459190784.0,29188096.0,2220056576.0,1.95561877504e+11,0.030,0.030,2.080
15-10 03:11:34,0.0,0.013,99.987,0.0,0.0,0.0,3459182592.0,29188096.0,2220056576.0,1.95561885696e+11,0.030,0.030,2.080
15-10 03:11:36,0.0,0.037,99.963,0.0,0.0,0.0,3459174400.0,29196288.0,2220056576.0,1.95561885696e+11,0.020,0.030,2.060
15-10 03:11:38,0.0,0.013,99.987,0.0,0.0,0.0,3459174400.0,29196288.0,2220056576.0,1.95561885696e+11,0.020,0.030,2.060
15-10 03:11:40,0.0,0.012,99.988,0.0,0.0,0.0,3459174400.0,29196288.0,2220056576.0,1.95561885696e+11,0.020,0.030,2.060
15-10 03:11:42,0.0,0.013,99.987,0.0,0.0,0.0,3459166208.0,29204480.0,2220056576.0,1.95561885696e+11,0.020,0.030,2.050
15-10 03:11:44,0.0,0.013,99.987,0.0,0.0,0.0,3459166208.0,29204480.0,2220056576.0,1.95561885696e+11,0.020,0.030,2.050
15-10 03:11:46,0.012,0.025,99.963,0.0,0.0,0.0,3459166208.0,29204480.0,2220056576.0,1.95561885696e+11,0.020,0.030,2.040
15-10 03:11:48,0.0,0.0,100.0,0.0,0.0,0.0,3459166208.0,29212672.0,2220048384.0,1.95561885696e+11,0.020,0.030,2.040
15-10 03:11:50,0.0,0.025,99.975,0.0,0.0,0.0,3459158016.0,29212672.0,2220056576.0,1.95561885696e+11,0.020,0.030,2.040
15-10 03:11:52,0.0,0.013,99.987,0.0,0.0,0.0,3459158016.0,29212672.0,2220056576.0,1.95561885696e+11,0.020,0.020,2.030
15-10 03:11:54,0.0,0.013,99.987,0.0,0.0,0.0,3459158016.0,29220864.0,2220048384.0,1.95561885696e+11,0.020,0.020,2.030
15-10 03:11:56,0.0,0.025,99.975,0.0,0.0,0.0,3459149824.0,29220864.0,2220056576.0,1.95561885696e+11,0.020,0.020,2.020
15-10 03:11:58,0.0,0.013,99.987,0.0,0.0,0.0,3459149824.0,29220864.0,2220056576.0,1.95561885696e+11,0.020,0.020,2.020
15-10 03:12:00,0.0,0.013,99.987,0.0,0.0,0.0,3459149824.0,29229056.0,2220048384.0,1.95561885696e+11,0.020,0.020,2.020
15-10 03:12:02,0.0,0.013,99.987,0.0,0.0,0.0,3459141632.0,29229056.0,2220056576.0,1.95561885696e+11,0.020,0.020,2.010
15-10 03:12:04,0.0,0.013,99.987,0.0,0.0,0.0,3459141632.0,29229056.0,2220056576.0,1.95561885696e+11,0.020,0.020,2.010
15-10 03:12:06,0.0,0.025,99.975,0.0,0.0,0.0,3459141632.0,29237248.0,2220048384.0,1.95561885696e+11,0.010,0.020,2.0
15-10 03:12:08,0.0,0.025,99.975,0.0,0.0,0.0,3459133440.0,29237248.0,2220056576.0,1.95561885696e+11,0.010,0.020,2.0
15-10 03:12:10,0.0,0.0,100.0,0.0,0.0,0.0,3459133440.0,29237248.0,2220056576.0,1.95561885696e+11,0.010,0.020,2.0
15-10 03:12:12,0.0,0.025,99.975,0.0,0.0,0.0,3459133440.0,29245440.0,2220048384.0,1.95561885696e+11,0.010,0.020,1.990
15-10 03:12:14,0.0,0.013,99.987,0.0,0.0,0.0,3459125248.0,29245440.0,2220056576.0,1.95561885696e+11,0.010,0.020,1.990
15-10 03:12:16,0.0,0.013,99.987,0.0,0.0,0.0,3459125248.0,29245440.0,2220056576.0,1.95561885696e+11,0.010,0.020,1.970
15-10 03:12:18,0.0,0.013,99.987,0.0,0.0,0.0,3459125248.0,29253632.0,2220048384.0,1.95561885696e+11,0.010,0.020,1.970
15-10 03:12:20,0.0,0.013,99.987,0.0,0.0,0.0,3459117056.0,29253632.0,2220056576.0,1.95561885696e+11,0.010,0.020,1.970
15-10 03:12:22,0.0,0.025,99.975,0.0,0.0,0.0,3459117056.0,29253632.0,2220056576.0,1.95561885696e+11,0.010,0.020,1.960
15-10 03:12:24,0.0,0.0,100.0,0.0,0.0,0.0,3459117056.0,29261824.0,2220048384.0,1.95561885696e+11,0.010,0.020,1.960
15-10 03:12:26,0.012,0.025,99.963,0.0,0.0,0.0,3459108864.0,29261824.0,2220056576.0,1.95561885696e+11,0.010,0.020,1.950
15-10 03:12:28,0.0,0.0,100.0,0.0,0.0,0.0,3459108864.0,29261824.0,2220056576.0,1.95561885696e+11,0.010,0.020,1.950
15-10 03:12:30,0.0,0.013,99.987,0.0,0.0,0.0,3459108864.0,29270016.0,2220048384.0,1.95561885696e+11,0.010,0.020,1.950
15-10 03:12:32,0.0,0.013,99.987,0.0,0.0,0.0,3459227648.0,29270016.0,2220056576.0,1.9556175872e+11,0.010,0.020,1.940
15-10 03:12:34,0.0,0.013,99.987,0.0,0.0,0.0,3459227648.0,29270016.0,2220056576.0,1.9556175872e+11,0.010,0.020,1.940
15-10 03:12:36,0.013,0.037,99.950,0.0,0.0,0.0,3459448832.0,29278208.0,2220048384.0,1.95561537536e+11,0.010,0.020,1.930
15-10 03:12:38,0.0,0.025,99.975,0.0,0.0,0.0,3459186688.0,29278208.0,2220056576.0,1.95561791488e+11,0.010,0.020,1.930
15-10 03:12:40,0.0,0.013,99.987,0.0,0.0,0.0,3459133440.0,29278208.0,2220064768.0,1.95561836544e+11,0.010,0.020,1.930
15-10 03:12:42,0.0,0.013,99.987,0.0,0.0,0.0,3459133440.0,29286400.0,2220056576.0,1.95561836544e+11,0.010,0.020,1.920
15-10 03:12:44,0.0,0.013,99.987,0.0,0.0,0.0,3459063808.0,29286400.0,2220068864.0,1.95561893888e+11,0.010,0.020,1.920
15-10 03:12:46,0.0,0.013,99.987,0.0,0.0,0.0,3459063808.0,29286400.0,2220068864.0,1.95561893888e+11,0.010,0.020,1.910
15-10 03:12:48,0.0,0.012,99.988,0.0,0.0,0.0,3459063808.0,29294592.0,2220060672.0,1.95561893888e+11,0.010,0.020,1.910
15-10 03:12:50,0.0,0.013,99.987,0.0,0.0,0.0,3459055616.0,29294592.0,2220068864.0,1.95561893888e+11,0.010,0.020,1.910
15-10 03:12:52,0.0,0.0,100.0,0.0,0.0,0.0,3459055616.0,29294592.0,2220068864.0,1.95561893888e+11,0.0,0.020,1.900
15-10 03:12:54,0.0,0.013,99.987,0.0,0.0,0.0,3459055616.0,29302784.0,2220060672.0,1.95561893888e+11,0.0,0.020,1.900
15-10 03:12:56,0.013,0.013,99.975,0.0,0.0,0.0,3459047424.0,29302784.0,2220068864.0,1.95561893888e+11,0.0,0.020,1.890
15-10 03:12:58,0.0,0.012,99.988,0.0,0.0,0.0,3459047424.0,29302784.0,2220068864.0,1.95561893888e+11,0.0,0.020,1.890
15-10 03:13:00,0.0,0.013,99.987,0.0,0.0,0.0,3459047424.0,29310976.0,2220060672.0,1.95561893888e+11,0.0,0.020,1.890
15-10 03:13:02,0.013,0.013,99.975,0.0,0.0,0.0,3459174400.0,29310976.0,2220068864.0,1.9556175872e+11,0.0,0.020,1.880
15-10 03:13:04,0.0,0.013,99.987,0.0,0.0,0.0,3459174400.0,29310976.0,2220068864.0,1.9556175872e+11,0.0,0.020,1.880
15-10 03:13:06,0.0,0.025,99.975,0.0,0.0,0.0,3459166208.0,29319168.0,2220060672.0,1.95561766912e+11,0.080,0.030,1.870
15-10 03:13:08,0.0,0.013,99.987,0.0,0.0,0.0,3459158016.0,29319168.0,2220068864.0,1.95561766912e+11,0.080,0.030,1.870
15-10 03:13:10,0.0,0.013,99.987,0.0,0.0,0.0,3459158016.0,29319168.0,2220068864.0,1.95561766912e+11,0.080,0.030,1.870
15-10 03:13:12,0.0,0.0,100.0,0.0,0.0,0.0,3459158016.0,29327360.0,2220060672.0,1.95561766912e+11,0.080,0.030,1.860
15-10 03:13:14,0.0,0.013,99.987,0.0,0.0,0.0,3459149824.0,29327360.0,2220068864.0,1.95561766912e+11,0.080,0.030,1.860
15-10 03:13:16,0.0,0.025,99.975,0.0,0.0,0.0,3459149824.0,29327360.0,2220068864.0,1.95561766912e+11,0.070,0.030,1.850
15-10 03:13:18,0.0,0.013,99.987,0.0,0.0,0.0,3459149824.0,29335552.0,2220060672.0,1.95561766912e+11,0.070,0.030,1.850
15-10 03:13:20,0.0,0.0,100.0,0.0,0.0,0.0,3459141632.0,29335552.0,2220068864.0,1.95561766912e+11,0.070,0.030,1.850
15-10 03:13:22,0.0,0.012,99.988,0.0,0.0,0.0,3459141632.0,29335552.0,2220068864.0,1.95561766912e+11,0.060,0.030,1.840
15-10 03:13:24,0.0,0.013,99.987,0.0,0.0,0.0,3459141632.0,29343744.0,2220060672.0,1.95561766912e+11,0.060,0.030,1.840
15-10 03:13:26,0.0,0.013,99.987,0.0,0.0,0.0,3459133440.0,29343744.0,2220068864.0,1.95561766912e+11,0.060,0.030,1.830
15-10 03:13:28,0.0,0.013,99.987,0.0,0.0,0.0,3459133440.0,29343744.0,2220068864.0,1.95561766912e+11,0.060,0.030,1.830
15-10 03:13:30,0.0,0.013,99.987,0.0,0.0,0.0,3459133440.0,29351936.0,2220060672.0,1.95561766912e+11,0.060,0.030,1.830
15-10 03:13:32,0.0,0.013,99.987,0.0,0.0,0.0,3459125248.0,29351936.0,2220068864.0,1.95561766912e+11,0.050,0.030,1.820
15-10 03:13:34,0.0,0.0,100.0,0.0,0.0,0.0,3459125248.0,29351936.0,2220068864.0,1.95561766912e+11,0.050,0.030,1.820
15-10 03:13:36,0.0,0.037,99.963,0.0,0.0,0.0,3459125248.0,29360128.0,2220060672.0,1.95561766912e+11,0.050,0.030,1.810
15-10 03:13:38,0.0,0.013,99.987,0.0,0.0,0.0,3459117056.0,29360128.0,2220068864.0,1.95561766912e+11,0.050,0.030,1.810
15-10 03:13:40,0.0,0.013,99.987,0.0,0.0,0.0,3459117056.0,29360128.0,2220068864.0,1.95561766912e+11,0.050,0.030,1.810
15-10 03:13:42,0.0,0.013,99.987,0.0,0.0,0.0,3459117056.0,29368320.0,2220060672.0,1.95561766912e+11,0.050,0.030,1.800
15-10 03:13:44,0.0,0.0,100.0,0.0,0.0,0.0,3459235840.0,29368320.0,2220068864.0,1.95561639936e+11,0.050,0.030,1.800
15-10 03:13:46,0.012,0.025,99.963,0.0,0.0,0.0,3459235840.0,29368320.0,2220068864.0,1.95561639936e+11,0.040,0.030,1.790
15-10 03:13:48,0.0,0.0,100.0,0.0,0.0,0.0,3459235840.0,29376512.0,2220060672.0,1.95561639936e+11,0.040,0.030,1.790
15-10 03:13:50,0.0,0.013,99.987,0.0,0.0,0.0,3459227648.0,29376512.0,2220068864.0,1.95561639936e+11,0.040,0.030,1.790
15-10 03:13:52,0.0,0.013,99.987,0.0,0.0,0.0,3459227648.0,29376512.0,2220068864.0,1.95561639936e+11,0.040,0.030,1.780
15-10 03:13:54,0.0,0.013,99.987,0.0,0.0,0.0,3459223552.0,29384704.0,2220064768.0,1.95561639936e+11,0.040,0.030,1.780
15-10 03:13:56,0.0,0.013,99.987,0.0,0.0,0.0,3459215360.0,29384704.0,2220072960.0,1.95561639936e+11,0.040,0.030,1.770
15-10 03:13:58,0.0,0.013,99.987,0.0,0.0,0.0,3459207168.0,29384704.0,2220072960.0,1.95561648128e+11,0.040,0.030,1.770
15-10 03:14:00,0.0,0.013,99.987,0.0,0.0,0.0,3459207168.0,29392896.0,2220064768.0,1.95561648128e+11,0.040,0.030,1.770
15-10 03:14:02,0.0,0.013,99.987,0.0,0.0,0.0,3459190784.0,29392896.0,2220072960.0,1.9556165632e+11,0.030,0.030,1.760
15-10 03:14:04,0.0,0.013,99.987,0.0,0.0,0.0,3459190784.0,29392896.0,2220072960.0,1.9556165632e+11,0.030,0.030,1.760
15-10 03:14:06,0.0,0.025,99.975,0.0,0.0,0.0,3459182592.0,29401088.0,2220064768.0,1.95561664512e+11,0.030,0.030,1.750
15-10 03:14:08,0.0,0.013,99.987,0.0,0.0,0.0,3459174400.0,29401088.0,2220072960.0,1.95561664512e+11,0.030,0.030,1.750
15-10 03:14:10,0.0,0.013,99.987,0.0,0.0,0.0,3459174400.0,29401088.0,2220072960.0,1.95561664512e+11,0.030,0.030,1.750
15-10 03:14:12,0.0,0.013,99.987,0.0,0.0,0.0,3459174400.0,29409280.0,2220064768.0,1.95561664512e+11,0.030,0.030,1.740
15-10 03:14:14,0.0,0.013,99.987,0.0,0.0,0.0,3459158016.0,29409280.0,2220072960.0,1.95561672704e+11,0.030,0.030,1.740
15-10 03:14:16,0.0,0.013,99.987,0.0,0.0,0.0,3459158016.0,29409280.0,2220072960.0,1.95561672704e+11,0.020,0.020,1.730
15-10 03:14:18,0.0,0.013,99.987,0.0,0.0,0.0,3459158016.0,29417472.0,2220064768.0,1.95561672704e+11,0.020,0.020,1.730
15-10 03:14:20,0.0,0.013,99.987,0.0,0.0,0.0,3459149824.0,29417472.0,2220072960.0,1.95561672704e+11,0.020,0.020,1.730
15-10 03:14:22,0.0,0.012,99.988,0.0,0.0,0.0,3459149824.0,29417472.0,2220072960.0,1.95561672704e+11,0.020,0.020,1.720
15-10 03:14:24,0.0,0.0,100.0,0.0,0.0,0.0,3459149824.0,29425664.0,2220064768.0,1.95561672704e+11,0.020,0.020,1.720
15-10 03:14:26,0.013,0.025,99.962,0.0,0.0,0.0,3459760128.0,29425664.0,2220072960.0,1.95561054208e+11,0.020,0.020,1.720
15-10 03:14:28,0.0,0.013,99.987,0.0,0.0,0.0,3459141632.0,29425664.0,2220085248.0,1.95561660416e+11,0.020,0.020,1.720
